Reference Contrat;N° COMPTEUR;Ancien index;Nouvel index;consommation;date de relève;periode
22103010;;6413;6647;234;;201811
22103009;;4306;4479;173;;201811
22103011;;6284;6533;249;;201811
22103012;;5585;5712;127;;201811
22103013;;1034;1080;46;;201811
22103014;;3931;4121;190;;201811
22103016;;4024;4194;170;;201811
22103021;;41831;42430;599;;201811
22103015;;5025;5208;183;;201811
22103017;;3174;3361;187;;201811
22103049;;1470;1630;160;;201811
22103042;;1518;1575;57;;201811
22103053;;1764;1885;121;;201811
22103054;;3330;3654;324;;201811
22103052;;509;578;69;;201811
22103051;;828;863;35;;201811
22103041;;2622;2871;249;;201811
22103058;;1697;1883;186;;201811
22103054;;3330;3654;324;;201811
22103053;;1764;1885;121;;201811
22103052;;509;578;69;;201811
22103041;;2622;2871;249;;201811
22103058;;1697;1883;186;;201811
22103051;;828;863;35;;201811
22103062;;964;1116;152;;201811
22103063;;74;86;12;;201811
22103065;;9;27;18;;201811
24303018;;4838;5115;277;;201811
24303014;;487;540;53;;201811
24303024;;3743;3973;230;;201811
23810019;;397;472;75;;201811
22601021;;2456;2517;61;;201811
22601017;;560;601;41;;201811
22601024;;34378;36828;2450;;201811
22601020;;835;897;62;;201811
22601006;;5603;5857;254;;201811
22601014;;3478;3597;119;;201811
22601013;;1597;1823;226;;201811
22601004;;2408;2487;79;;201811
22601007;;3615;3721;106;;201811
22601012;;2546;2668;122;;201811
22601016;;8775;9354;579;;201811
22601055;;4975;5468;493;;201811
22601033;;983;1142;159;;201811
22303026;;3878;4019;141;;201811
23107032;;568;639;71;;201811
23107022;;82;93;11;;201811
23107034;;625;721;96;;201811
23107033;;631;827;196;;201811
23107023;;101;138;37;;201811
23107035;;16;138;122;;201811
23101043;;761;898;137;;201811
23812045;;295;375;80;;201811
23812033;;479;511;32;;201811
23812008;;22;38;16;;201811
23812052;;2180;2193;13;;201811
23107034;;625;721;96;;201811
23107034;;625;721;96;;201811
23107033;;631;827;196;;201811
23107023;;101;138;37;;201811
23101043;;761;898;137;;201811
23107035;;16;71;55;;201811
23224027;;625;726;101;;201811
23224026;;326;372;46;;201811
23224041;;816;1025;209;;201811
23814019;;841;940;99;;201811
23814018;;971;1084;113;;201811
23814022;;61;71;10;;201811
23814035;;849;993;144;;201811
23814023;;565;652;87;;201811
22602005;;2022;2103;81;;201811
22602015;;14524;15136;612;;201811
22602010;;2721;2776;55;;201811
22602011;;6995;7220;225;;201811
22602011;;6995;7220;225;;201811
22602012;;1134;1212;78;;201811
22602013;;3022;3088;66;;201811
22602006;;3669;3893;224;;201811
22602017;;3223;3283;60;;201811
22602009;;2303;2348;45;;201811
22602024;;773;797;24;;201811
22602027;;1541;1578;37;;201811
22602031;;543;580;37;;201811
22602023;;6067;6318;251;;201811
22602035;;2781;2919;138;;201811
22602029;;663;712;49;;201811
22602033;;1276;1376;100;;201811
22602026;;1859;1932;73;;201811
22602016;;2748;2797;49;;201811
22602038;;1397;1476;79;;201811
22602022;;498;538;40;;201811
23816015;;935;1125;190;;201811
22602037;;1080;1266;186;;201811
23816012;;41;46;5;;201811
23816003;;1374;1592;218;;201811
23816009;;384;468;84;;201811
23816013;;191;236;45;;201811
23816099;;50;61;11;;201811
23816001;;54;67;13;;201811
23816011;;466;659;193;;201811
23816032;;21;28;7;;201811
23816004;;57;125;68;;201811
23816014;;1546;1910;364;;201811
23816005;;448;545;97;;201811
23816068;;38;53;15;;201811
23816114;;101;121;20;;201811
23816022;;648;844;196;;201811
23816090;;471;545;74;;201811
23816018;;98;123;25;;201811
23816016;;860;997;137;;201811
23816115;;268;297;29;;201811
23816008;;276;353;77;;201811
23816017;;51;59;8;;201811
23816113;;341;396;55;;201811
23816006;;64;167;103;;201811
23816093;;54;63;9;;201811
23816002;;203;246;43;;201811
23816101;;66;86;20;;201811
23816007;;76;98;22;;201811
23816117;;83;94;11;;201811
23816120;;34;60;26;;201811
23816021;;34;42;8;;201811
23816116;;164;241;77;;201811
23816119;;21;73;52;;201811
22701009;;2041;2073;32;;201811
23817010;;129;283;154;;201811
23816122;;0;945;945;;201811
22701010;;1040;1053;13;;201811
22701021;;426;451;25;;201811
22702003;;6752;6977;225;;201811
22702007;;1996;2043;47;;201811
22702015;;560;580;20;;201811
22702001;;940;954;14;;201811
22702017;;7607;8080;473;;201811
23101001;;9131;10967;1836;;201811
23101008;;6572;6825;253;;201811
23101009;;3630;3700;70;;201811
23101027;;42184;42599;415;;201811
23101012;;4029;4147;118;;201811
23101013;;4125;4229;104;;201811
23101014;;4196;4255;59;;201811
23101022;;4104;4167;63;;201811
23101010;;10040;10360;320;;201811
23101016;;1545;1608;63;;201811
23101019;;1561;1634;73;;201811
23101011;;525;548;23;;201811
23101004;;3726;3867;141;;201811
23101034;;441;448;7;;201811
23101035;;378;416;38;;201811
23101033;;2463;2573;110;;201811
23101038;;2009;2103;94;;201811
23101041;;609;680;71;;201811
23101039;;126;153;27;;201811
23101045;;397;517;120;;201811
23101042;;141;180;39;;201811
23101046;;99;131;32;;201811
23101048;;121;162;41;;201811
23101047;;211;242;31;;201811
23820005;;0;47;47;;201811
23821002;;540;668;128;;201811
23821024;;604;741;137;;201811
23821066;;388;482;94;;201811
23821028;;2336;2345;9;;201811
23821001;;632;780;148;;201811
23823033;;481;567;86;;201811
23823003;;166;259;93;;201811
23823002;;507;602;95;;201811
23823032;;5264;5531;267;;201811
23823009;;24;29;5;;201811
22106004;;1003;1048;45;;201811
22104004;;1250;1363;113;;201811
22104003;;3102;3263;161;;201811
22104015;;2257;2377;120;;201811
22106009;;3931;4072;141;;201811
22104009;;2597;2748;151;;201811
22104026;;2539;2668;129;;201811
22104022;;2580;2800;220;;201811
22104024;;31189;33608;2419;;201811
22104028;;824;985;161;;201811
22106008;;102;145;43;;201811
22106002;;497;557;60;;201811
22104002;;3354;3467;113;;201811
22106006;;4611;4930;319;;201811
23825018;;713;886;173;;201811
23826007;;852;926;74;;201811
23826030;;815;981;166;;201811
23826039;;51;70;19;;201811
23826048;;1016;1067;51;;201811
23826043;;9;19;10;;201811
23826045;;8;18;10;;201811
24304007;;3847;3978;131;;201811
24304035;;2867;2960;93;;201811
24304036;;4901;4981;80;;201811
24304037;;1705;1770;65;;201811
24304039;;18381;19393;1012;;201811
24304043;;70533;72507;1974;;201811
24304017;;3442;3656;214;;201811
24304042;;12541;13417;876;;201811
24304041;;2244;2265;21;;201811
24304044;;3261;3334;73;;201811
24304046;;3736;3857;121;;201811
24304050;;2052;2197;145;;201811
24304057;;1365;1437;72;;201811
24304056;;1498;1520;22;;201811
24304009;;2059;2222;163;;201811
23828026;;419;523;104;;201811
23828002;;86;101;15;;201811
24304025;;123;135;12;;201811
24304065;;1136;1337;201;;201811
24305017;;4201;4261;60;;201811
24305003;;3713;3808;95;;201811
24305025;;2545;2708;163;;201811
24305015;;5901;6079;178;;201811
24305026;;1254;1400;146;;201811
24305029;;2097;2150;53;;201811
24305030;;2662;2674;12;;201811
24306019;;4657;4752;95;;201811
24306014;;8656;8969;313;;201811
24306034;;8176;8614;438;;201811
24306011;;2655;2720;65;;201811
24306017;;3741;3805;64;;201811
24306041;;8413;8585;172;;201811
24306036;;5005;5387;382;;201811
24306020;;2555;2622;67;;201811
24306042;;933;950;17;;201811
24306029;;3047;3149;102;;201811
24306045;;1695;1863;168;;201811
24306047;;1734;1878;144;;201811
24306048;;72258;77981;5723;;201811
24306006;;2370;2527;157;;201811
24306064;;2237;2419;182;;201811
24306030;;609;689;80;;201811
24306075;;335;461;126;;201811
24306070;;1435;1518;83;;201811
24306027;;0;38;38;;201811
23509021;;1252;1322;70;;201811
23509022;;1488;1617;129;;201811
23509020;;1613;1630;17;;201811
23509003;;4070;4447;377;;201811
23509048;;2234;2273;39;;201811
23509054;;454;573;119;;201811
23509056;;60;162;102;;201811
23509029;;5;15;10;;201811
23509052;;672;758;86;;201811
22401006;;2777;2937;160;;201811
22401004;;2620;2746;126;;201811
22401001;;5889;6293;404;;201811
