ReferenceContrat;numcompteur;Ancienindex;Nouvelindex;consommation;datereleve;periode;nombrejours;categorie
24307031;24307031-int;335;384;49;25/02/2021;202104;60;DOM
24307032;24307032-int;113;129;16;25/02/2021;202104;60;DOM
24307033;24307033-int;41;50;9;25/02/2021;202104;60;DOM
24307034;24307034-int;37;47;10;25/02/2021;202104;60;DOM
24307035;24307035-int;79;92;13;25/02/2021;202104;60;DOM
24307036;24307036-int;127;150;23;25/02/2021;202104;60;DOM
24308004;150303-0322;6115;6189;74;25/02/2021;202104;60;DOM
24308006;24308006-int;199;233;34;25/02/2021;202104;60;DOM
24308011;24308011-int;36;46;10;25/02/2021;202104;60;DOM
24308012;150303-0487;8569;8946;377;25/02/2021;202104;60;DOM
24308016;150303-0389;5183;5276;93;25/02/2021;202104;60;DOM
24308020;150303-0251;8541;8541;0;25/02/2021;202104;60;DOM
24308022;150303-0257;4403;4587;184;25/02/2021;202104;60;DOM
24308024;24308024-int;13995;14252;257;25/02/2021;202104;60;PROD
24308025;150303-0387;10526;10526;0;25/02/2021;202104;60;PROD
24308027;24308027-int;15857;15913;56;25/02/2021;202104;60;PROD
24308028;150303-0321;790;976;186;25/02/2021;202104;60;DOM
24308029;150303-0431;10959;11454;495;25/02/2021;202104;60;DOM
24308031;24308031-int;837;911;74;25/02/2021;202104;60;DOM
24308034;24308034-int;172;192;20;25/02/2021;202104;60;DOM
24308035;1780809-0381;1596;1706;110;25/02/2021;202104;60;DOM
24308036;24308036-int;3204;3442;238;25/02/2021;202104;60;DOM
24308040;24308040-int;57;69;12;25/02/2021;202104;60;DOM
24308041;24308041-int;113;129;16;25/02/2021;202104;60;DOM
24308042;24308042-int;10;51;41;25/02/2021;202104;60;DOM
24308043;24308043-int;138;162;24;25/02/2021;202104;60;DOM
24308044;24308044-int;292;424;132;25/02/2021;202104;60;DOM
24308045;24308045-int;379;414;35;25/02/2021;202104;60;DOM
24308046;24308046-int;51;63;12;25/02/2021;202104;60;DOM
24308048;24308048-int;1094;1236;142;25/02/2021;202104;60;DOM
24308049;24308049-int;189;220;31;25/02/2021;202104;60;DOM
24308050;24308050-int;793;1013;220;25/02/2021;202104;60;DOM
24308051;37219571637-0;5;38;33;25/02/2021;202104;60;DOM
24308055;37219573211-2;35;58;23;25/02/2021;202104;60;DOM
24308056;37219573179-1;4;6;2;25/02/2021;202104;60;DOM
24308059;37219573278-1;17;32;15;25/02/2021;202104;60;DOM
24308060;37219573412-1;24;58;34;25/02/2021;202104;60;DOM
24308062;37219573393-8;3;57;54;25/02/2021;202104;60;DOM
24308063;37219569086-4;25;50;25;25/02/2021;202104;60;DOM
24308065;37219571702-2;58;96;38;25/02/2021;202104;60;DOM
24309001;24309001-int;2851;2942;91;25/02/2021;202104;60;DOM
24309002;24309002-int;1737;1756;19;25/02/2021;202104;60;DOM
24309003;24309003-int;5821;6000;179;25/02/2021;202104;60;PROD
24309004;24309004-int;233;275;42;25/02/2021;202104;60;DOM
24309005;24309005-int;33;45;12;25/02/2021;202104;60;DOM
24309008;24309008-int;28;36;8;25/02/2021;202104;60;DOM
24309011;24309011-int;117;136;19;25/02/2021;202104;60;DOM
24309013;24309013-int;174;197;23;25/02/2021;202104;60;DOM
24309014;24309014-int;298;367;69;25/02/2021;202104;60;DOM
24309016;24309016-int;276;322;46;25/02/2021;202104;60;DOM
24309017;24309017-int;74;87;13;25/02/2021;202104;60;DOM
24309019;24309019-int;49;59;10;25/02/2021;202104;60;DOM
24309020;24309020-int;258;316;58;25/02/2021;202104;60;DOM
24309021;24309021-int;2275;2435;160;25/02/2021;202104;60;DOM
24309022;24309022-int;172;184;12;25/02/2021;202104;60;DOM
24309024;24309024-int;28;34;6;25/02/2021;202104;60;DOM
24309026;24309026-int;66;80;14;25/02/2021;202104;60;DOM
24309027;24309027-int;243;257;14;25/02/2021;202104;60;DOM
24309028;24309028-int;1481;1783;302;25/02/2021;202104;60;DOM
24309029;24309029-int;720;737;17;25/02/2021;202104;60;DOM
24309031;24309031-int;379;399;20;25/02/2021;202104;60;DOM
24309032;24309032-int;55;63;8;25/02/2021;202104;60;DOM
24309033;24309033-int;132;156;24;25/02/2021;202104;60;DOM
24309035;24309035-int;2578;2810;232;25/02/2021;202104;60;DOM
24309036;24309036-int;22;38;16;25/02/2021;202104;60;DOM
24309038;24309038-int;2961;2961;0;25/02/2021;202104;60;DOM
24309039;24309039-int;1073;1251;178;25/02/2021;202104;60;DOM
24309040;24309040-int;42;49;7;25/02/2021;202104;60;DOM
24309041;24309041-int;197;238;41;25/02/2021;202104;60;DOM
24309042;24309042-int;51;70;19;25/02/2021;202104;60;DOM
24309043;24309043-int;178;209;31;25/02/2021;202104;60;DOM
24309044;24309044-int;1658;2006;348;25/02/2021;202104;60;DOM
24309045;24309045-int;248;445;197;25/02/2021;202104;60;DOM
24309046;24309046-int;100;113;13;25/02/2021;202104;60;DOM
