ReferenceContrat;numcompteur;Ancienindex;Nouvelindex;consommation;datereleve;periode;nombrejours;categorie
24302082;37219579069-;20;52;32;27/10/2020;202010;60;DOM
24302081;37219579275-;202;229;27;27/10/2020;202010;60;DOM
22324161;37219566041-2;11;18;7;27/10/2020;202010;60;DOM
22324082;37219566116-2;31;46;15;27/10/2020;202010;60;DOM
22324114;37219566132-9;5;14;9;27/10/2020;202010;60;DOM
22324140;37219566199-9;476;562;86;27/10/2020;202010;60;DOM
22324152;37219566207-9;28;42;14;27/10/2020;202010;60;DOM
22308198;37219569444-1;31;37;6;22/10/2020;202010;60;DOM
22308223;37219573955-4;0;4;4;22/10/2020;202010;60;DOM
22301082;SOUS COUPURE;0;0;0;27/10/2020;202010;60;DOM
22308017;82450035;83;105;22;22/10/2020;202010;60;DOM
24341099;37219575620-2;0;81;81;26/10/2020;202010;60;DOM
24341100;37219575687-1;0;15;15;26/10/2020;202010;60;DOM
24341101;37219564566-0;0;25;25;26/10/2020;202010;60;DOM
24341102;37219576693-8;0;12;12;26/10/2020;202010;60;DOM
24341103;37219565001-7;0;5;5;26/10/2020;202010;60;DOM
24341107;37219572916-7;0;61;61;26/10/2020;202010;60;DOM
24341106;37219572908-4;0;11;11;26/10/2020;202010;60;DOM
24341105;37219575570-9;0;26;26;26/10/2020;202010;60;DOM
24341109;37219575638-4;0;21;21;26/10/2020;202010;60;DOM
24302023;37219568674-8;0;258;258;27/10/2020;202010;60;DOM
24302009;37219564988-6;0;116;116;27/10/2020;202010;60;DOM
24302052;37219568682-1;0;23;23;27/10/2020;202010;60;DOM
24302005;37219575875-1;0;15;15;27/10/2020;202010;60;DOM
24304012;37219563618-0;0;32;32;23/10/2020;202010;60;DOM
22523041;746070;0;44;44;28/10/2020;202010;60;DOM
22523005;687654;0;88;88;28/10/2020;202010;60;DOM
22523067;658119;0;19;19;28/10/2020;202010;60;DOM
22523107;686581;0;18;18;28/10/2020;202010;60;DOM
22523119;688157;0;10;10;28/10/2020;202010;60;DOM
22523120;749793;0;3;3;28/10/2020;202010;60;DOM
22523121;687993;0;15;15;28/10/2020;202010;60;DOM
22523122;750007;0;34;34;28/10/2020;202010;60;DOM
22523124;749876;0;0;0;28/10/2020;202010;60;DOM
22523123;686471;0;15;15;28/10/2020;202010;60;DOM
22523126;672579;0;5;5;28/10/2020;202010;60;DOM
22523125;749611;0;137;137;28/10/2020;202010;60;DOM
22531012;687811;0;5;5;28/10/2020;202010;60;DOM
22531032;687571;0;4;4;28/10/2020;202010;60;DOM
22531031;687407;0;3;3;28/10/2020;202010;60;DOM
22531026;687167;0;45;45;28/10/2020;202010;60;DOM
