ReferenceContrat;numcompteur;Ancienindex;Nouvelindex;consommation;datereleve;periode;nombrejours
23816101;123;66;86;20;;202022;30
23816007;123;76;98;22;;202022;30
23816117;123;83;94;11;;202022;30
23816120;123;34;60;26;;202022;30
23816021;123;34;42;8;;202022;30
23816116;123;164;241;77;;202022;30
23816119;123;21;73;52;;202022;30
22701009;123;2041;2073;32;;202022;30
23817010;123;129;283;154;;202022;30
23816122;123;0;945;945;;202022;30
22701010;123;1040;1053;13;;202022;30
22701021;123;426;451;25;;202022;30
22702003;123;6752;6977;225;;202022;30
22702007;123;1996;2043;47;;202022;30
22702015;123;560;580;20;;202022;30
22702001;123;940;954;14;;202022;30
22702017;123;7607;8080;473;;202022;30
23101001;123;9131;10967;1836;;202022;30
23101008;123;6572;6825;253;;202022;30
23101009;123;3630;3700;70;;202022;30
23101027;123;42184;42599;415;;202022;30
23101012;123;4029;4147;118;;202022;30
23101013;123;4125;4229;104;;202022;30
23101014;123;4196;4255;59;;202022;30
23101022;123;4104;4167;63;;202022;30
23101010;123;10040;10360;320;;202022;30
23101016;123;1545;1608;63;;202022;30
23101019;123;1561;1634;73;;202022;30
23101011;123;525;548;23;;202022;30
23101004;123;3726;3867;141;;202022;30
23101034;123;441;448;7;;202022;30
23101035;123;378;416;38;;202022;30
23101033;123;2463;2573;110;;202022;30
23101038;123;2009;2103;94;;202022;30
23101041;123;609;680;71;;202022;30
23101039;123;126;153;27;;202022;30
23101045;123;397;517;120;;202022;30
23101042;123;141;180;39;;202022;30
23101046;123;99;131;32;;202022;30
23101048;123;121;162;41;;202022;30
23101047;123;211;242;31;;202022;30
23820005;123;0;47;47;;202022;30
23821002;123;540;668;128;;202022;30
23821024;123;604;741;137;;202022;30
23821066;123;388;482;94;;202022;30
23821028;123;2336;2345;9;;202022;30
23821001;123;632;780;148;;202022;30
23823033;123;481;567;86;;202022;30
23823003;123;166;259;93;;202022;30
23823002;123;507;602;95;;202022;30
23823032;123;5264;5531;267;;202022;30
23823009;123;24;29;5;;202022;30
22106004;123;1003;1048;45;;202022;30
22104004;123;1250;1363;113;;202022;30
22104003;123;3102;3263;161;;202022;30
22104015;123;2257;2377;120;;202022;30
22106009;123;3931;4072;141;;202022;30
22104009;123;2597;2748;151;;202022;30
22104026;123;2539;2668;129;;202022;30
22104022;123;2580;2800;220;;202022;30
22104024;123;31189;33608;2419;;202022;30
22104028;123;824;985;161;;202022;30
22106008;123;102;145;43;;202022;30
22106002;123;497;557;60;;202022;30
22104002;123;3354;3467;113;;202022;30
22106006;123;4611;4930;319;;202022;30
23825018;123;713;886;173;;202022;30
23826007;123;852;926;74;;202022;30
23826030;123;815;981;166;;202022;30
23826039;123;51;70;19;;202022;30
23826048;123;1016;1067;51;;202022;30
23826043;123;9;19;10;;202022;30
23826045;123;8;18;10;;202022;30
24304007;123;3847;3978;131;;202022;30
24304035;123;2867;2960;93;;202022;30
24304036;123;4901;4981;80;;202022;30
24304037;123;1705;1770;65;;202022;30
24304039;123;18381;19393;1012;;202022;30
24304043;123;70533;72507;1974;;202022;30
24304017;123;3442;3656;214;;202022;30
24304042;123;12541;13417;876;;202022;30
24304041;123;2244;2265;21;;202022;30
24304044;123;3261;3334;73;;202022;30
24304046;123;3736;3857;121;;202022;30
24304050;123;2052;2197;145;;202022;30
24304057;123;1365;1437;72;;202022;30
24304056;123;1498;1520;22;;202022;30
24304009;123;2059;2222;163;;202022;30
23828026;123;419;523;104;;202022;30
23828002;123;86;101;15;;202022;30
24304025;123;123;135;12;;202022;30
24304065;123;1136;1337;201;;202022;30
24305017;123;4201;4261;60;;202022;30
24305003;123;3713;3808;95;;202022;30
24305025;123;2545;2708;163;;202022;30
24305015;123;5901;6079;178;;202022;30
24305026;123;1254;1400;146;;202022;30
24305029;123;2097;2150;53;;202022;30
24305030;123;2662;2674;12;;202022;30
24306019;123;4657;4752;95;;202022;30
24306014;123;8656;8969;313;;202022;30
24306034;123;8176;8614;438;;202022;30
24306011;123;2655;2720;65;;202022;30
24306017;123;3741;3805;64;;202022;30
24306041;123;8413;8585;172;;202022;30
24306036;123;5005;5387;382;;202022;30
24306020;123;2555;2622;67;;202022;30
24306042;123;933;950;17;;202022;30
24306029;123;3047;3149;102;;202022;30
24306045;123;1695;1863;168;;202022;30
24306047;123;1734;1878;144;;202022;30
24306048;123;72258;77981;5723;;202022;30
24306006;123;2370;2527;157;;202022;30
24306064;123;2237;2419;182;;202022;30
24306030;123;609;689;80;;202022;30
24306075;123;335;461;126;;202022;30
24306070;123;1435;1518;83;;202022;30
24306027;123;0;38;38;;202022;30
23509021;123;1252;1322;70;;202022;30
23509022;123;1488;1617;129;;202022;30
23509020;123;1613;1630;17;;202022;30
23509003;123;4070;4447;377;;202022;30
23509048;123;2234;2273;39;;202022;30
23509054;123;454;573;119;;202022;30
23509056;123;60;162;102;;202022;30
23509029;123;5;15;10;;202022;30
23509052;123;672;758;86;;202022;30
22401006;123;2777;2937;160;;202022;30
22401004;123;2620;2746;126;;202022;30
22401001;123;5889;6293;404;;202022;30
22401024;123;926;1007;81;;202022;30
22401002;123;9803;10225;422;;202022;30
22401005;123;588;604;16;;202022;30
22401003;123;6005;6185;180;;202022;30
22401007;123;2425;2835;410;;202022;30
22401009;123;3546;3730;184;;202022;30
22401010;123;3104;3197;93;;202022;30
22401008;123;7594;8178;584;;202022;30
22401014;123;1608;1791;183;;202022;30
22401023;123;2766;2973;207;;202022;30
22401015;123;234;245;11;;202022;30
22401027;123;761;804;43;;202022;30
22401033;123;881;943;62;;202022;30
22401031;123;397;426;29;;202022;30
22401030;123;1362;1533;171;;202022;30
22401034;123;836;847;11;;202022;30
22401036;123;506;627;121;;202022;30
22401037;123;175;195;20;;202022;30
24329088;123;726;816;90;;202022;30
22401038;123;218;254;36;;202022;30
24329103;123;1077;1195;118;;202022;30
24329099;123;1524;1565;41;;202022;30
24329098;123;1203;1313;110;;202022;30
24329104;123;2196;2370;174;;202022;30
24329096;123;221;299;78;;202022;30
24329101;123;1176;1264;88;;202022;30
24329100;123;2483;2717;234;;202022;30
24329102;123;925;1060;135;;202022;30
24329105;123;1302;1409;107;;202022;30
24329038;123;2826;3125;299;;202022;30
24329092;123;2224;2414;190;;202022;30
24329107;123;0;61;61;;202022;30
41201032;123;2096;2128;32;;202022;30
24329037;123;4485;4946;461;;202022;30
41201025;123;1984;2019;35;;202022;30
41201031;123;4198;4332;134;;202022;30
41201023;123;4082;4237;155;;202022;30
41201027;123;2397;2436;39;;202022;30
41201024;123;5495;5560;65;;202022;30
41201026;123;5446;5654;208;;202022;30
41201034;123;4253;4314;61;;202022;30
41201028;123;4134;4256;122;;202022;30
41201013;123;5505;5645;140;;202022;30
41201033;123;4707;4798;91;;202022;30
41201012;123;5582;5792;210;;202022;30
41201062;123;4389;4473;84;;202022;30
41201029;123;5157;5351;194;;202022;30
41201035;123;3925;4040;115;;202022;30
41201037;123;1929;1940;11;;202022;30
41201038;123;1380;1470;90;;202022;30
41201039;123;3775;3934;159;;202022;30
41201040;123;6510;6685;175;;202022;30
41201044;123;2444;2520;76;;202022;30
41201041;123;1722;1737;15;;202022;30
41201015;123;6494;6727;233;;202022;30
41201042;123;1035;1071;36;;202022;30
41201043;123;3418;3464;46;;202022;30
41201036;123;4802;4811;9;;202022;30
41201048;123;1756;1855;99;;202022;30
41201046;123;3608;3666;58;;202022;30
41201050;123;6031;6125;94;;202022;30
41201051;123;2864;2969;105;;202022;30
41201052;123;2474;2529;55;;202022;30
41201047;123;8328;8561;233;;202022;30
41201053;123;3550;3593;43;;202022;30
41201055;123;1951;2053;102;;202022;30
41201054;123;1498;1585;87;;202022;30
41201049;123;1351;1390;39;;202022;30
41201057;123;2759;2874;115;;202022;30
41201059;123;762;783;21;;202022;30
41201014;123;4693;4806;113;;202022;30
41201016;123;3588;3671;83;;202022;30
41201065;123;2762;2962;200;;202022;30
41201060;123;4372;4547;175;;202022;30
41201064;123;2056;2136;80;;202022;30
41201069;123;2263;2372;109;;202022;30
41201061;123;1077;1155;78;;202022;30
41201072;123;735;785;50;;202022;30
41201017;123;1303;1355;52;;202022;30
41201020;123;1331;1361;30;;202022;30
41201068;123;1479;1590;111;;202022;30
41201063;123;899;981;82;;202022;30
41201070;123;371;400;29;;202022;30
41201066;123;540;553;13;;202022;30
41201071;123;536;597;61;;202022;30
41201080;123;1586;1660;74;;202022;30
41201078;123;2237;2314;77;;202022;30
41201067;123;3344;3527;183;;202022;30
41201077;123;297;320;23;;202022;30
41201081;123;4193;4491;298;;202022;30
41201009;123;1513;1711;198;;202022;30
41201087;123;907;994;87;;202022;30
41201095;123;568;596;28;;202022;30
41201094;123;556;651;95;;202022;30
41201084;123;64;93;29;;202022;30
41201093;123;486;493;7;;202022;30
41201091;123;258;327;69;;202022;30
41201092;123;69;76;7;;202022;30
41201083;123;82;102;20;;202022;30
41201096;123;540;683;143;;202022;30
23401004;123;2255;2285;30;;202022;30
23401002;123;4498;4610;112;;202022;30
23401003;123;1593;1629;36;;202022;30
23401008;123;2080;2211;131;;202022;30
23401010;123;112943;116791;3848;;202022;30
23401009;123;10145;10750;605;;202022;30
23401011;123;10324;376;506;;202022;30
23401033;123;3005;3274;269;;202022;30
23401034;123;435;448;13;;202022;30
23401073;123;1452;1545;93;;202022;30
23401032;123;916;991;75;;202022;30
23401080;123;617;751;134;;202022;30
23401087;123;867;997;130;;202022;30
24307016;123;3164;3359;195;;202022;30
24307011;123;124;137;13;;202022;30
23401081;123;906;992;86;;202022;30
24307027;123;43;70;27;;202022;30
23833003;123;444;493;49;;202022;30
23833007;123;61;74;13;;202022;30
23833012;123;38;55;17;;202022;30
23833010;123;481;566;85;;202022;30
23833001;123;113;132;19;;202022;30
22304013;123;4957;5280;323;;202022;30
22301144;123;809;857;48;;202022;30
22304012;123;1723;1830;107;;202022;30
23123009;123;150;188;38;;202022;30
23123012;123;218;304;86;;202022;30
23115012;123;31;49;18;;202022;30
23842015;123;149;159;10;;202022;30
23840001;123;34;42;8;;202022;30
23841017;123;540;623;83;;202022;30
22603001;123;4385;4653;268;;202022;30
22603004;123;3323;3423;100;;202022;30
22703007;123;830;911;81;;202022;30
22603002;123;16925;17650;725;;202022;30
22603007;123;1850;1953;103;;202022;30
22603016;123;1051;1109;58;;202022;30
22603026;123;2250;2432;182;;202022;30
22603010;123;1238;1388;150;;202022;30
22603013;123;2799;2964;165;;202022;30
22603025;123;2257;2532;275;;202022;30
22603029;123;114;162;48;;202022;30
22603030;123;0;232;232;;202022;30
22604005;123;9214;9302;88;;202022;30
22604006;123;2438;2446;8;;202022;30
22604012;123;3599;3774;175;;202022;30
22604013;123;4180;4326;146;;202022;30
22604016;123;8949;9335;386;;202022;30
22604015;123;866;873;7;;202022;30
22604049;123;237;252;15;;202022;30
22604053;123;303;361;58;;202022;30
23849018;123;485;645;160;;202022;30
23849016;123;466;563;97;;202022;30
22604051;123;423;328;461;;202022;30
23849017;123;2583;2593;10;;202022;30
23850024;123;567;649;82;;202022;30
23850036;123;381;456;75;;202022;30
23850025;123;744;838;94;;202022;30
23850013;123;152;165;13;;202022;30
23850002;123;478;528;50;;202022;30
23850023;123;54;81;27;;202022;30
23850042;123;699;705;6;;202022;30
23850044;123;48;57;9;;202022;30
23850040;123;432;846;414;;202022;30
23850045;123;1562;2034;472;;202022;30
23850046;123;5;25;20;;202022;30
23850043;123;57;103;46;;202022;30
23850047;123;2127;2138;11;;202022;30
22704004;123;2670;2757;87;;202022;30
22704003;123;2880;2901;21;;202022;30
22704007;123;2748;2811;63;;202022;30
22704005;123;4192;4235;43;;202022;30
22704006;123;3904;3928;24;;202022;30
22704008;123;6876;7104;228;;202022;30
22704009;123;689;701;12;;202022;30
22704001;123;13433;13900;467;;202022;30
22704012;123;6564;7192;628;;202022;30
22704013;123;10694;11135;441;;202022;30
22704015;123;4825;4957;132;;202022;30
22704018;123;1061;1067;6;;202022;30
22704016;123;1922;1951;29;;202022;30
22704019;123;5186;5211;25;;202022;30
22704014;123;1918;1978;60;;202022;30
22704021;123;888;950;62;;202022;30
22704022;123;2710;2850;140;;202022;30
22704030;123;1773;1906;133;;202022;30
