ReferenceContrat;numcompteur;Ancienindex;Nouvelindex;consommation;datereleve;periode;nombrejours;categorie
11308069;82368611;75;82;7;28/10/2020;202010;60;DOM
11308058;82449250;68;83;15;28/10/2020;202010;60;DOM
11308075;41290083;15;16;1;28/10/2020;202010;30;PRO
11308011;141826447;8123;8932;809;28/10/2020;202010;60;DOM
11308040;82369020;114;121;7;28/10/2020;202010;60;DOM
11308077;41236447;3191;3460;269;28/10/2020;202010;30;PRO
11308072;82449230;50;58;8;28/10/2020;202010;60;DOM
11308063;82369022;219;245;26;28/10/2020;202010;60;DOM
11308034;82369498;2807;3031;224;28/10/2020;202010;60;DOM
11308039;82450531;36;42;6;28/10/2020;202010;60;DOM
11308078;41290381;7317;8742;1425;28/10/2020;202010;30;PRO
11308009;82368694;71;88;17;28/10/2020;202010;60;DOM
11308014;14250505675;4174;4174;0;28/10/2020;202010;60;DOM
11308005;82449891;42;137;95;28/10/2020;202010;60;DOM
11308076;82449514;30;34;4;28/10/2020;202010;60;DOM
11308073;82449472;66;77;11;28/10/2020;202010;60;DOM
11308016;141826438;1101;1174;73;28/10/2020;202010;60;DOM
11308038;82449221;924;950;26;28/10/2020;202010;60;DOM
11308025;82368574;1519;1587;68;28/10/2020;202010;60;DOM
11422001;37219569953;17;17;0;28/10/2020;202010;60;DOM
11422165;37219572130;12;28;16;28/10/2020;202010;60;DOM
11422006;4808;4620;5060;440;28/10/2020;202010;60;DOM
11422133;41238117;1153;1233;80;28/10/2020;202010;30;PRO
11422054;82368354;4298;4953;655;28/10/2020;202010;60;DOM
11422181;37219570670;0;20;20;28/10/2020;202010;60;DOM
11422109;82368608;1764;1868;104;28/10/2020;202010;60;DOM
11422117;82448734;71;88;17;28/10/2020;202010;60;DOM
11413011;82368289;1221;1295;74;28/10/2020;202010;60;DOM
11422037;82366709;2302;2467;165;28/10/2020;202010;60;DOM
11422150;82449180;1390;1417;27;28/10/2020;202010;60;DOM
11422083;82368003;1377;1529;152;28/10/2020;202010;60;DOM
11422028;1604213652;1640;1753;113;28/10/2020;202010;60;DOM
11422015;141826467;2900;3015;115;28/10/2020;202010;60;DOM
11422043;82368412;246;331;85;28/10/2020;202010;60;DOM
11422044;82368703;301;304;3;28/10/2020;202010;60;DOM
11422135;41290353;1153;1429;276;28/10/2020;202010;30;PRO
11422009;14250514545;4552;4855;303;28/10/2020;202010;60;DOM
11422155;82449407;131;166;35;28/10/2020;202010;60;DOM
11422040;37219559871;0;7;7;28/10/2020;202010;60;DOM
11422074;82449287;15;18;3;28/10/2020;202010;60;DOM
11422010;5205;2602;2637;35;28/10/2020;202010;60;DOM
11422149;37219570837;7;16;9;28/10/2020;202010;60;DOM
11422185;37219570654;0;413;413;28/10/2020;202010;60;DOM
11422035;82369816;1371;1544;173;28/10/2020;202010;60;DOM
11422153;82449138;34;36;2;28/10/2020;202010;60;DOM
11422071;82449431;7;11;4;28/10/2020;202010;60;DOM
11422160;82449025;82;97;15;28/10/2020;202010;60;DOM
11422016;82368019;254;280;26;28/10/2020;202010;60;DOM
11422099;82368706;957;974;17;28/10/2020;202010;60;DOM
11422128;41236419;4286;4835;549;28/10/2020;202010;30;PRO
11422058;82369226;1072;1097;25;28/10/2020;202010;60;DOM
11422077;82369821;223;264;41;28/10/2020;202010;60;DOM
11422100;82449513;507;569;62;28/10/2020;202010;60;DOM
11422161;37219571850;119;184;65;28/10/2020;202010;60;DOM
11422130;82450018;289;323;34;28/10/2020;202010;60;DOM
11422018;170505238;1718;1813;95;28/10/2020;202010;60;DOM
11422113;82369339;72;80;8;28/10/2020;202010;60;DOM
11422137;82450372;322;413;91;28/10/2020;202010;60;DOM
11422146;82450534;27;51;24;28/10/2020;202010;60;DOM
11422023;82449602;464;549;85;28/10/2020;202010;60;DOM
11422004;141826366;5598;6014;416;28/10/2020;202010;60;DOM
11422024;3751;1634;1697;63;28/10/2020;202010;60;DOM
11422032;82368711;431;483;52;28/10/2020;202010;60;DOM
11422066;82368196;1339;1392;53;28/10/2020;202010;60;DOM
11422075;82448569;61;70;9;28/10/2020;202010;60;DOM
11422050;82367680;337;338;1;28/10/2020;202010;60;DOM
11422179;37219560903;0;7;7;28/10/2020;202010;60;DOM
11422118;41236256;5431;5926;495;28/10/2020;202010;30;PRO
11422041;82449232;522;526;4;28/10/2020;202010;60;DOM
11422142;82449192;675;738;63;28/10/2020;202010;60;DOM
11422176;37219560952;0;6;6;28/10/2020;202010;60;DOM
11422132;82449849;1065;1087;22;28/10/2020;202010;60;DOM
11422163;37219572163;2;4;2;28/10/2020;202010;60;DOM
11422177;37219569508;0;7;7;28/10/2020;202010;60;DOM
11422068;82449104;204;382;178;28/10/2020;202010;60;DOM
11422052;82367983;376;425;49;28/10/2020;202010;60;DOM
11422002;1604214699;1266;1294;28;28/10/2020;202010;60;DOM
11422145;1604215234;251;251;0;28/10/2020;202010;60;DOM
11422042;82368268;1069;1298;229;28/10/2020;202010;60;DOM
11422057;82367622;2270;2328;58;28/10/2020;202010;60;DOM
11422148;82448648;125;147;22;28/10/2020;202010;60;DOM
11422053;82367999;2091;2171;80;28/10/2020;202010;60;DOM
11422089;82450170;13;15;2;28/10/2020;202010;60;DOM
11422038;82368136;2338;2438;100;28/10/2020;202010;60;DOM
11422125;82449379;687;692;5;28/10/2020;202010;60;DOM
11422123;82448603;119;132;13;28/10/2020;202010;60;DOM
11422081;82448680;743;826;83;28/10/2020;202010;60;DOM
11422003;3325;5039;5241;202;28/10/2020;202010;60;DOM
